slam,year,tour,fold,n_matches,n_points,n_set_blocks,serve_win_rate,serve_number_missing_frac,tiebreak_point_frac,points_per_match_median,points_per_set_block_median,points_per_set_block_p10,points_per_set_block_p90
wimbledon,2018,M,train,127,29752,946,0.6628,0.0394,0.0445,231.0,30.0,20.0,44.0
wimbledon,2018,W,train,127,19008,600,0.5782,0.0543,0.023,138.0,30.0,21.0,45.0
ausopen,2019,M,val,127,29054,938,0.656,0.0,0.0,218.0,30.0,20.0,43.0
ausopen,2019,W,val,127,17609,592,0.5895,0.0,0.0,127.0,28.0,20.0,42.89999999999998
frenchopen,2019,M,val,127,28454,938,0.6237,0.0,0.0,214.0,28.5,20.0,44.0
frenchopen,2019,W,val,125,17731,584,0.5553,0.0,0.0,132.0,29.0,19.0,42.0
usopen,2019,M,val,125,29573,947,0.6297,0.0458,0.0361,235.0,30.0,21.0,43.0
usopen,2019,W,val,126,17818,582,0.573,0.0523,0.0162,138.0,29.0,20.0,42.0
wimbledon,2019,M,val,127,28562,923,0.6524,0.0364,0.0367,215.0,29.0,20.200000000000003,43.0
wimbledon,2019,W,val,127,17975,580,0.5799,0.0431,0.0167,132.0,30.0,21.0,42.0
ausopen,2020,M,val,126,28470,933,0.6458,0.0,0.0,203.5,29.0,20.0,42.0
ausopen,2020,W,val,127,18060,584,0.5729,0.0,0.0,132.0,30.0,19.300000000000004,44.0
frenchopen,2020,M,val,127,28294,910,0.602,0.0,0.0,205.0,30.0,19.0,44.0
frenchopen,2020,W,val,126,17979,586,0.5405,0.0,0.0,139.0,29.0,19.0,45.0
usopen,2020,M,val,124,27147,902,0.636,0.0405,0.0283,203.0,29.0,20.0,42.89999999999998
usopen,2020,W,val,124,17514,574,0.5815,0.048,0.0252,134.5,29.0,20.0,43.0
