arm,player_id,name,serve,return,serve_variance,return_variance
ordinary,102783,Rainer Schuettler,-0.1436506746982505,-0.10124917637199063,0.09276650929716163,0.11438619308254394
ordinary,102967,Marc Gicquel,-0.03710697908809207,-0.1485110029666862,0.34349777136668225,0.3431934030153877
ordinary,103096,Arnaud Clement,0.020825493870271636,0.00426735918943362,0.05408826638532724,0.047954548382568886
ordinary,103105,Ruben Ramirez Hidalgo,0.022742254227633235,0.08419287164023513,0.015934846444904442,0.017645796770024647
ordinary,103163,Tommy Haas,0.20326924851011285,0.25585818808709976,0.009416223573169602,0.009832859936212373
ordinary,103188,Michael Russell,-0.00820259482564668,0.21177555002494103,0.010273664112704976,0.011451149282209576
ordinary,103228,Marcos Daniel,-1.0802565491907872,-0.17972139475526028,0.5379108508622688,0.5287223461975707
ordinary,103285,Radek Stepanek,0.05119680003500264,0.2494633490602865,0.009975260697865956,0.011555132369547225
ordinary,103333,Ivo Karlovic,0.5257117001226207,0.02103716545162336,0.010896139798551245,0.012869485301638145
ordinary,103344,Ivan Ljubicic,0.24363182218858406,0.15303088871201992,0.013880417309753024,0.015328342177655482
ordinary,103401,Jan Hernych,-0.3010794296394665,0.05573586841568674,0.28081645991998316,0.29342497736196016
ordinary,103428,Juan Ignacio Chela,-0.014069201025210122,0.2658500273552904,0.010123278892473567,0.010215707740778299
ordinary,103429,Peter Luczak,-0.05573828129989,-0.30613059059032377,0.5089525895259357,0.5113302307530021
ordinary,103444,Jean Rene Lisnard,0.07685424232003112,-0.007769706112159407,0.11064381477936713,0.13694728381163335
ordinary,103451,Bjorn Phau,0.07126792498587352,-0.08670444846401157,0.02431939044449863,0.034639605274632765
ordinary,103470,Robert Kendrick,-0.1909148522389149,-0.3144306166878889,0.2109692314149021,0.2093795633218165
ordinary,103484,James Blake,0.02951747919467857,0.14755164177144275,0.010401019545525967,0.01059601931635775
ordinary,103507,Juan Carlos Ferrero,0.3049703205555302,0.191884207841338,0.012232965657835973,0.013273304242739672
ordinary,103534,Nicolas Devilder,0.17607736401143892,0.29169894029389337,0.03320317153210354,0.03462024957732124
ordinary,103565,Stephane Robert,-0.1942533889036699,0.09290198321454468,0.044288114707379755,0.045849426576347094
ordinary,103566,Michael Llodra,0.18621421472530494,0.07175864260032269,0.0110540476775039,0.012958800910695217
ordinary,103582,Michael Berrer,0.09536031905284074,0.14566324506938924,0.03232768837996057,0.035275355706846194
ordinary,103598,Xavier Malisse,0.19909187714796472,0.2686382157800285,0.008078420565597858,0.00786550504008021
ordinary,103602,Fernando Gonzalez,0.02365613293788743,-0.47961946737676975,0.08867282722915559,0.09757405661751428
ordinary,103656,Albert Montanes,0.24179374522566272,0.19485071232574003,0.02494556411530903,0.02594659620529547
ordinary,103672,Ricardo Mello,0.13169195315235221,0.15446068468572677,0.023396005304404752,0.02656191021815182
ordinary,103675,Diego Junqueira,-0.29160281833051227,0.3557942282631753,0.05809497342878134,0.0774542356624437
ordinary,103694,Olivier Rochus,-0.08428364486468791,-0.39364087730120756,0.02059004810683905,0.026971807116360793
ordinary,103720,Lleyton Hewitt,0.2118802690041742,0.17692790743990106,0.005213812335406113,0.005658725748425491
ordinary,103722,Florent Serra,0.12389214948497229,-0.0039965776378586,0.018726190585873295,0.023169043711118407
ordinary,103752,Simon Greul,-0.24565939023999986,0.012229250240747265,0.5081958375144877,0.5099553708776892
ordinary,103781,Jurgen Melzer,0.04554224900617179,0.22012786610218305,0.015199476349893597,0.015925828057322285
ordinary,103786,Nikolay Davydenko,0.08563793729727424,0.15545835313977566,0.015266082616270483,0.018576413101333317
ordinary,103794,Benjamin Becker,0.03583496291356178,0.11805315053368938,0.02102697734665969,0.019604953106167323
ordinary,103799,Eric Prodon,0.12536696775972406,0.1665049242368395,0.07241770017623139,0.08335383134333252
ordinary,103808,Potito Starace,0.38649755299405175,-0.2929021591639511,0.028268987107099998,0.04327194783105753
ordinary,103812,Victor Hanescu,0.2853027898101952,-0.4236880708375865,0.040423095201719494,0.05179591410872808
ordinary,103813,Jarkko Nieminen,0.012658422357574646,0.10911537899453187,0.0093073779284832,0.010665231409351428
ordinary,103819,Roger Federer,0.6356572520376911,0.5088681095479327,0.0021387155953773995,0.0018350792132356452
ordinary,103821,Danai Udomchoke,0.008161578515211047,0.2050747310800281,0.04230605177370972,0.047219700943289866
ordinary,103823,Denis Gremelmayr,-0.08284707129713477,-0.1343893393135132,0.5124463378199554,0.5102737562587629
ordinary,103835,Filippo Volandri,-0.06442805920213907,-0.027999732535622712,0.020234910398900283,0.023689846911503464
ordinary,103851,Conor Niland,-0.6633552503149736,-0.21221496717297803,0.12367799143829461,0.15719876073206063
ordinary,103852,Feliciano Lopez,0.36831059610995376,0.11666978987545326,0.005699208162553677,0.006227772715168975
ordinary,103857,Igor Kunitsyn,-0.28894967659916004,0.2201957590822637,0.045174761060271754,0.04862239344025966
ordinary,103888,Mardy Fish,0.45898315916851495,0.37390758479274605,0.004930138117026829,0.004345298835810059
ordinary,103893,Paolo Lorenzi,-0.25038808602746226,0.26742090244414396,0.021002690347823448,0.022156888976446253
ordinary,103898,Julien Benneteau,0.19299156927844377,0.1497701352670633,0.005306173619254251,0.005865242113786671
ordinary,103900,David Nalbandian,0.07755217753714973,0.4677238467883845,0.009019278765097484,0.008481742131976189
ordinary,103908,Paul Henri Mathieu,0.2640560795056913,0.1128379452728217,0.010089944026283295,0.009865176076604
ordinary,103917,Nicolas Mahut,0.06296566664498923,0.1095140515029667,0.008879706804031547,0.01077784671758907
ordinary,103970,David Ferrer,0.4747033843645386,0.4627820479666817,0.0024433347508882766,0.002297060760666112
ordinary,103971,Karol Beck,-0.012534325306472943,0.14011956041988294,0.022905104535769192,0.030327667051228066
ordinary,103990,Tommy Robredo,0.32578482324898167,0.032453585424342735,0.1056530018651466,0.10687839234861565
ordinary,103997,Lukasz Kubot,0.06266289091500993,0.266953522779015,0.013863242870018293,0.01411515194096321
ordinary,104022,Mikhail Youzhny,0.12511487943201582,0.3270708898120465,0.006380425014222858,0.006850295468369796
ordinary,104035,Bobby Reynolds,0.2728458560543727,-0.0983150564734118,0.06755143372113726,0.06440561756150709
ordinary,104053,Andy Roddick,0.5186630069626141,0.13400805346425415,0.005258593668622482,0.005260943507540666
ordinary,104068,Robby Ginepri,-0.05515476408080387,-0.11469206300878776,0.07251013887639657,0.07111128684934898
ordinary,104095,David Guez,0.0222497884322972,-0.15152714765462275,0.1790858683905212,0.1796221543897748
ordinary,104098,Dmitry Tursunov,0.1246555557615402,-0.23336722829681517,0.0334080921401588,0.03400659648929406
ordinary,104122,Carlos Berlocq,-0.11087631562708561,0.3143995472057293,0.024252165871007633,0.02481966746664832
ordinary,104166,Alex Bogomolov Jr,-0.08468858240281354,0.237677295747012,0.01878621561389226,0.023022710468811172
ordinary,104180,Gilles Muller,0.36121198085878814,-0.10555369615793302,0.008781083244640994,0.010130324876852403
ordinary,104192,Marco Crugnola,-0.2980703933364662,-0.17099860209358056,0.5128294234820943,0.5158870921628528
ordinary,104198,Guillermo Garcia Lopez,0.07603276309084406,0.03857958835616945,0.009657343379261423,0.01078994721675947
ordinary,104214,Igor Andreev,0.23572822124367931,0.1493980799293578,0.01848416105703726,0.018573714717965376
ordinary,104225,Jan Hajek,0.018254686617777627,0.042310783459094836,0.04987736760910402,0.04801029666001669
ordinary,104227,Augustin Gensse,0.0882315546087633,0.06617877159188144,0.09125032666919142,0.09352407375387328
ordinary,104229,Yen Hsun Lu,0.03335577864484119,0.08589475695573089,0.009108087702987768,0.00939733544028377
ordinary,104252,Florian Mayer,0.25149712766394505,0.35654541267772083,0.011682305473325773,0.010676385021638379
ordinary,104259,Philipp Kohlschreiber,0.33289827386372184,0.21021289179998812,0.005327202422127648,0.005059156190736365
ordinary,104262,Flavio Cipolla,-0.270693621754185,0.2764529140041709,0.026152642777432632,0.025842501582611022
ordinary,104268,Alejandro Falla,0.23239915260112587,0.1886281143885488,0.008706675614060515,0.008763231743045883
ordinary,104269,Fernando Verdasco,0.18761518030850433,0.11557297031856709,0.005967450290276172,0.006212960762901535
ordinary,104273,Edouard Roger-Vasselin,0.1872619126893712,0.02314088142068202,0.020222640017889284,0.027335653460211363
ordinary,104291,Malek Jaziri,-0.15584650804143566,-0.026421560943639635,0.036710798832325656,0.040165831291789744
ordinary,104297,Rogerio Dutra Silva,0.02341642036290914,-0.38000122617887105,0.021859641451456555,0.03288182899330675
ordinary,104312,Andreas Seppi,0.259558097357816,0.22504844251765646,0.00977232892460703,0.012819758078238597
ordinary,104327,Steve Darcis,0.31587955210029506,-0.14969484018159712,0.023038435349681287,0.025581069229179493
ordinary,104332,Philipp Petzschner,0.17792325733894265,0.21198690987495886,0.00898094242952083,0.009187076475044248
ordinary,104338,Juan Monaco,0.10741667378814945,0.2738594067082397,0.006414286023841102,0.006273781143199992
ordinary,104349,Rui Machado,-0.3499620594534918,0.1624818553360804,0.021047888467133964,0.024218724282772365
ordinary,104386,Janko Tipsarevic,0.392120223314939,0.30660951714916324,0.0033997641944515326,0.003193852617745828
ordinary,104417,Robin Soderling,0.238595561717787,0.2119648511602356,0.017360946657042332,0.017458460160423184
ordinary,104424,Go Soeda,0.18918979575847003,0.23401555022701534,0.021754937729482955,0.025552842857013276
ordinary,104433,Frank Dancevic,-0.1736798306666479,-0.13006989733354873,0.5108683995945705,0.5129856263231384
ordinary,104460,Dustin Brown,0.4137344801849286,0.05376650988167945,0.038143924106568305,0.05453500215696783
ordinary,104468,Gilles Simon,0.08852422618213322,0.31676003923320495,0.004565661372172861,0.004593758145444506
ordinary,104471,Ivan Dodig,-0.00527783467530149,-0.25767960269128987,0.027800245098188014,0.04003545737708111
ordinary,104476,Louk Sorensen,-0.027327087446372602,-0.09507757220321461,0.5122404659649586,0.5122404659649586
ordinary,104494,Adrian Ungur,0.6374128738661438,0.13100176100104607,0.03457183883623305,0.04444915683527473
ordinary,104499,Jimmy Wang,0.02032747633579205,0.1453336606378627,0.03764529469521416,0.03833582322620932
ordinary,104500,Somdev Devvarman,-0.07311373810884306,0.08063805939130861,0.02384919911389248,0.030997737590088614
ordinary,104523,Frederico Gil,-0.19651406924057022,-0.0904960880887347,0.04302275344340309,0.0498331922712429
