month,n,ordinary_iid,ordinary_burst,ordinary_temperature
2024-12,82,0.6879279150488615,0.6600353777039546,0.6591094844077713
2025-01,207,0.5899182585655736,0.5776757731345863,0.5792653752684404
2025-02,288,0.6758100583590106,0.6454256189028237,0.6469884982851829
2025-03,270,0.6827091636444473,0.652088661919034,0.6541378305025357
2025-04,210,0.6163028057382973,0.615993845380908,0.6146658915522482
2025-05,277,0.6190264087567374,0.5984159369133171,0.5979795834695538
2025-06,295,0.6293347313906649,0.6164281627667153,0.610109429341784
2025-07,276,0.714384854895887,0.6703964212693524,0.6732575626883298
2025-08,266,0.6761659946146535,0.6354057899857343,0.6260339869507063
2025-09,125,0.7107254887833325,0.6616282590252116,0.6634155282087583
2025-10,290,0.7195093479181949,0.6693821083567704,0.6685878638226074
2025-11,69,0.6013139899696406,0.5997333756975199,0.5958883986151721
2025-12,15,0.7632231139413735,0.7430856690810174,0.7193974912578811
