period,n,date_min,date_max,frozen_burst_log_loss,online_burst_log_loss,online_gain
83,82,2024-12-27,2024-12-30,0.6600353777039546,0.6600353777039546,0.0
84,495,2025-01-06,2025-02-24,0.6170938652179243,0.6170938652179244,-1.1102230246251565e-16
85,480,2025-03-05,2025-04-23,0.6362971796836039,0.6409516930940505,-0.004654513410446648
86,572,2025-05-07,2025-06-30,0.6077054589880592,0.6059545101251035,0.0017509488629556813
87,542,2025-07-14,2025-08-25,0.6532238974290527,0.6378801408566401,0.015343756572412603
88,415,2025-09-17,2025-10-27,0.6670466115701563,0.6345987148916503,0.032447896678506005
89,84,2025-11-02,2025-12-17,0.6253319995160016,0.5949377836885458,0.03039421582745583
