,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
intercept,0.5050413604543718,0.015447856479994434,0.47897718175827997,0.5281479033528814,158.93255171404675,110.56437336853791,0.9974778629687128,0.0012333709477235963,0.0010809910888211806
sigma_s0,0.15853351330425142,0.008555891150931784,0.14651902161040067,0.17318644596894606,87.891554963569,88.12306224660138,1.0426917410457568,0.000950027977893017,0.0006459668055439143
sigma_r0,0.12602872631366632,0.008625813640152111,0.11221393655846684,0.13897056486067114,113.7021538811886,66.54233359889912,0.98459754743215,0.0008433274599602019,0.0006026448109751986
sigma_s,0.04247157279363755,0.002653872755140809,0.0382343244405027,0.04707832716139207,105.85100400083665,71.1273545122294,1.0403818150669757,0.0002677065162132064,0.00021671310011966562
sigma_r,0.02962498119169345,0.002319995645055504,0.025882358712414445,0.0334916185626439,43.447567923906014,75.00201889687473,1.0255269810501255,0.00035882628191561826,0.00016056841544364692
sigma_surf,0.06880762848689664,0.004021376947324256,0.0628452742569784,0.07543601198990108,76.99749651679548,80.91174246516148,0.9988170617039523,0.0004661633037098973,0.00021471668240823392
sigma_t,0.06805985460278838,0.006131421492237941,0.059567987739382953,0.07621492446231491,127.1352623364171,91.35428060057677,0.990180096230427,0.0005695355442622975,0.0005621457966635026
last_s[0],-0.006576223193764251,0.08640219979778008,-0.15775636819192737,0.11662091423694748,146.71510956706274,113.93771199506624,1.0006236391383285,0.007128320478283754,0.004825568637618752
last_s[1],-0.1978228932552212,0.15321369599580142,-0.4253713401617019,0.04189460530485559,112.7157025848827,57.391358081908194,1.0143433080410302,0.014487139834955698,0.010609643205296088
last_s[2],-0.17084881527167844,0.10153870252303607,-0.3348961465872012,-0.014486052750450567,98.8547583766568,90.4971834435464,1.0843803882121636,0.01019251310133755,0.00722840522567704
last_s[3],-0.20955613213752,0.15255681983738636,-0.45645712367154045,0.03992274645498816,62.14076296990401,60.577819198508855,1.0213465211161847,0.019066079303895103,0.01200844493321408
last_s[4],-0.036006988817723934,0.2084922371826109,-0.34804797636232804,0.35205112967753494,97.31973786669131,95.87144686962255,0.9957741472239193,0.02187208120457582,0.01380750747195686
last_s[5],0.16576394454539503,0.12330310170049374,-0.02832424208484001,0.3717118167858834,78.57433031048147,87.34805200912272,1.0194409058182115,0.014219810564385517,0.006751409321199975
last_s[6],0.009258089511228574,0.09284196385236787,-0.12656930099855487,0.17057726675672724,102.18175817198238,89.8371018721128,0.9964800846924061,0.009194465363924802,0.005893104095201448
last_s[7],0.024359201324773053,0.07677244940834893,-0.10113043131253095,0.14861733312676534,197.4846344896009,106.72188595093976,0.9902435922932209,0.005509177709386971,0.005315495790749229
last_s[8],-0.16414712196033446,0.20252270004438003,-0.5072115813324828,0.16132757221316552,96.43987208543408,88.1492231924056,1.0304057716585633,0.023443924383874395,0.013304709987556368
last_s[9],-0.07737260220939106,0.08591399116921102,-0.1997361764606132,0.06014739149736879,84.0010979336877,77.90427999156651,1.0029437261954983,0.009739094345475097,0.005224139201942913
last_s[10],-0.14079671257374085,0.17279793182290898,-0.44668008534280523,0.1511571427079613,48.75644442670745,112.73974265598447,1.036712615140219,0.022220225527703252,0.009860381314971692
last_s[11],-0.0696741498030112,0.15295452086896139,-0.3157094350790775,0.15458646841326937,75.3149851453422,77.10668327106683,1.0119593473601949,0.016999034847222157,0.011084633819414238
last_s[12],-0.05600766597121272,0.22697733455571567,-0.38299920945787447,0.3182444760269136,155.0216770313752,101.5082398389019,1.0059304348929583,0.018709870398094183,0.017437043772515856
last_s[13],0.002874134571944905,0.1113991829362512,-0.18602292046461327,0.16746778888156363,101.45050583096717,76.29579292024462,1.0000147910991422,0.010918156045065765,0.0063014315048719564
last_s[14],0.1400399622750037,0.12279734188177499,-0.04957258077937385,0.3517923664391959,39.47152100268211,103.06866657492778,1.0490898206002712,0.019391878001453804,0.009511841139531515
last_s[15],-0.042607827174361734,0.20742990811701498,-0.3706754642020726,0.2702089345698582,156.10608364899574,125.76593655844809,1.0440873683970304,0.016908853852805227,0.015285484296969309
last_s[16],0.0441279559863916,0.22734003113822585,-0.33974737603435223,0.4019744146217806,155.40735189742622,48.812631147960516,1.010549976128724,0.01818534966600967,0.022702693805227568
last_s[17],0.22439837826417058,0.19169095957872623,-0.07111327168184947,0.5680440506671152,125.25279670735868,92.98745867925005,0.9978828527885379,0.017622772906996167,0.012523240522555787
